"BranchID","BranchName","DeptID","DeptName","CategoryID","CategoryName","Qty","NetSales","Cost","GM$","GM%","TranDate_DDMMYYYY"
531,Maxval-u Supermart - Ba,"62",Dairy,"6204",Cheese,"8.0000","43.0826","34.1710","8.9116","20.6800","05/01/2022"
545,Maxval-u Supermart - Labasa Town,"69",Alcoholic Beverage,"6901",Imported Spirits,"1.0000","11.8807","7.8470","4.0337","33.9500","06/01/2022"
551,MH  Superfresh,"69",Alcoholic Beverage,"6902",Local Spirits,"2.0000","106.3303","85.8950","20.4353","19.2100","03/01/2022"
517,Maxval-u Supermart - Flagstaff,"61",Supermarket (Non-Food),"6108",Cooking Requirements,"4.0000","143.1744","136.0750","7.0994","4.9500","05/01/2022"
551,MH  Superfresh,"25",Homeware,"2501",Bowls & Basins,"1.0000","5.4587","2.2770","3.1817","58.2800","02/01/2022"
551,MH  Superfresh,"58",Food,"5860",Ready To Eat,"1.0000","5.4587","4.2200","1.2387","22.6900","05/01/2022"
517,Maxval-u Supermart - Flagstaff,"58",Food,"5808",Dried Legumes,"32.0000","82.3670","69.8050","12.5620","15.2500","04/01/2022"
551,MH  Superfresh,"31",Gift & Occasion,"3101",Gift Wrapping,"4.0000","9.1284","5.3500","3.7784","41.3900","03/01/2022"
513,Maxval-u Nausori,"58",Food,"5827",Desserts,"8.0000","37.7523","24.8990","12.8533","34.0400","06/01/2022"
531,Maxval-u Supermart - Ba,"69",Alcoholic Beverage,"6901",Imported Spirits,"1.0000","11.8807","7.7000","4.1807","35.1800","05/01/2022"
545,Maxval-u Supermart - Labasa Town,"25",Homeware,"2501",Bowls & Basins,"1.0000","8.5780","6.0000","2.5780","30.0500","06/01/2022"
545,Maxval-u Supermart - Labasa Town,"62",Dairy,"6204",Cheese,"8.0000","48.8533","38.2970","10.5563","21.6000","01/01/2022"
542,Maxval-u Supermart - Premium Savusavu,"58",Food,"5827",Desserts,"1.0000","3.6239","2.5000","1.1239","31.0100","05/01/2022"
543,Maxval-u Supermart - Somosomo,"58",Food,"5808",Dried Legumes,"5.0000","11.1743","8.7290","2.4453","21.8800","02/01/2022"
517,Maxval-u Supermart - Flagstaff,"63",Frozen,"6305",Frozen Vegetables,"34.0000","95.4586","74.5950","20.8636","21.8500","04/01/2022"
